symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,LONG,4994.4572,73447.9,0.068,1773658876105,LIMIT,73733.5,FILLED,binance,,,,,,
BTC,SHORT,2448.13,73739.0,3.32,1773658845910,,,,okx,,,,,,
BTC,SHORT,1556.58,74122.9,0.021,1773658848469,,,,bybit,bybit,,,,,
,short,,73776.0,,2026-03-16T11:00:04.383000,,,,hyperliquid,,BTC,0.01687,1244.6,0xdb163fb9...,-13.83
BTC,SHORT,963.96,74150.6,0.013,1773658810944,,,,bybit,,,,,,
BTC,SHORT,877.72,73758.0,1.19,1773658847730,,,,okx,,,,,,
BTC,SHORT,740.7669999999999,74076.7,0.01,1773658811137,LIMIT,73777.7,FILLED,binance,,,,,,
BTC,SHORT,667.31,74145.6,0.009,1773658811944,,,,bybit,,,,,,
BTC,SHORT,494.34,73782.5,0.67,1773658810813,,,,okx,,,,,,
BTC,SHORT,413.2,73786.1,0.56,1773658811024,,,,okx,,,,,,
BTC,SHORT,370.78,74155.5,0.005,1773658811944,,,,bybit,,,,,,
BTC,SHORT,296.62,74153.9,0.004,1773658811443,,,,bybit,,,,,,
BTC,SHORT,74.16,74156.5,0.001,1773658811944,,,,bybit,,,,,,
BTC,SHORT,74.16,74157.2,0.001,1773658811944,,,,bybit,,,,,,
