symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status
BTC,LONG,117403.23,71894.2,1.633,1773623643944,bybit,,,,
BTC,LONG,19941.26,71990.1,0.277,1773623637422,binance,binance,,,
BTC,LONG,19941.257700000002,71990.1,0.277,1773623637422,binance,,LIMIT,72267.6,FILLED
BTC,LONG,18864.524,72002.0,0.262,1773623632594,binance,,LIMIT,72267.6,FILLED
BTC,LONG,18864.52,72002.0,0.262,1773623632594,binance,binance,,,
BTC,LONG,17525.94,71975.1,24.35,1773623636712,okx,,,,
BTC,LONG,15911.12,72257.6,22.02,1773623643681,okx,,,,
BTC,LONG,10290.21,72009.9,14.29,1773623591755,okx,,,,
BTC,LONG,9572.75,72029.7,13.29,1773623589355,okx,,,,
BTC,LONG,4943.51,72273.6,6.84,1773623632446,okx,,,,
BTC,LONG,4376.97,72275.0,0.06056,1773623594555,hyperliquid,hyperliquid,,,
BTC,LONG,3059.88,71997.1,4.25,1773623593392,okx,,,,
BTC,LONG,1366.14,71902.2,0.019,1773623644944,bybit,,,,
BTC,LONG,1223.37,71963.0,0.017,1773623589444,bybit,,,,
BTC,LONG,990.53,72301.8,1.37,1773623590630,okx,,,,
BTC,LONG,863.9736,71997.8,0.012,1773623596215,binance,,LIMIT,72280.0,FILLED
BTC,LONG,863.97,71997.8,0.012,1773623596215,binance,binance,,,
BTC,LONG,863.52,71959.7,0.012,1773623645502,binance,binance,,,
BTC,LONG,863.5164,71959.7,0.012,1773623645502,binance,,LIMIT,72248.6,FILLED
BTC,LONG,862.71,71892.2,0.012,1773623644444,bybit,,,,
BTC,LONG,791.56,71960.0,0.011,1773623589944,bybit,,,,
BTC,LONG,648.69,72237.0,0.00898,1773623645670,hyperliquid,hyperliquid,,,
BTC,LONG,648.08,72008.4,0.009,1773623593312,binance,binance,,,
BTC,LONG,648.0755999999999,72008.4,0.009,1773623593312,binance,,LIMIT,72280.9,FILLED
BTC,LONG,643.67,72322.7,0.89,1773623588674,okx,,,,
BTC,SHORT,580.7031999999999,72587.9,0.008,1773623628304,binance,,LIMIT,72293.4,FILLED
BTC,SHORT,580.7,72587.9,0.008,1773623628304,binance,binance,,,
BTC,LONG,575.8736,71984.2,0.008,1773623638782,binance,,LIMIT,72279.9,FILLED
BTC,LONG,575.87,71984.2,0.008,1773623638782,binance,binance,,,
BTC,LONG,503.9545,71993.5,0.007,1773623633692,binance,,LIMIT,72267.6,FILLED
BTC,LONG,503.95,71993.5,0.007,1773623633692,binance,binance,,,
BTC,LONG,410.34,71989.8,0.57,1773623594405,okx,,,,
BTC,LONG,367.09,71978.9,0.51,1773623633304,okx,,,,
BTC,LONG,289.16,72290.5,0.4,1773623592650,okx,,,,
BTC,LONG,288.1008,72025.2,0.004,1773623591385,binance,,LIMIT,72303.7,FILLED
BTC,LONG,288.1,72025.2,0.004,1773623591385,binance,binance,,,
BTC,LONG,287.78,71944.1,0.004,1773623593444,bybit,,,,
BTC,LONG,287.63,71906.7,0.004,1773623642944,bybit,,,,
BTC,LONG,216.1326,72044.2,0.003,1773623589381,binance,,LIMIT,72303.7,FILLED
BTC,LONG,216.13,72044.2,0.003,1773623589381,binance,binance,,,
BTC,LONG,143.95,71973.8,0.002,1773623644092,binance,binance,,,
BTC,LONG,143.94760000000002,71973.8,0.002,1773623644092,binance,,LIMIT,72246.6,FILLED
BTC,LONG,71.94,71941.3,0.001,1773623593444,bybit,,,,
BTC,LONG,71.92,71919.7,0.001,1773623632944,bybit,,,,
BTC,LONG,21.7,72330.2,0.03,1773623587082,okx,,,,
BTC,LONG,7.22,72249.1,0.01,1773623644335,okx,,,,
