symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl
BTC,SHORT,1878164.57,72636.6,25.857,1773614395444,bybit,,,,,,,,,
BTC,SHORT,90912.59,72788.3,1.249,1773614437444,bybit,,,,,,,,,
BTC,SHORT,74177.36,72395.0,1.02462,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,51939.79,72744.8,0.714,1773614433944,bybit,,,,,,,,,
BTC,SHORT,47151.78,72541.2,0.65,1773614351331,binance,,LIMIT,72247.3,FILLED,,,,,
BTC,SHORT,46425.47,72395.0,0.64128,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,40552.62,72396.0,0.56015,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,40552.47,72463.0,0.55963,1773614438767,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,40497.72,72298.0,0.56015,1773614396060,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,35037.83,72692.6,0.482,1773614420944,bybit,,,,,,,,,
BTC,SHORT,34996.97,72459.0,0.48299,1773614438767,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,34627.58,72594.5,47.7,1773614420505,okx,,,,,,,,,
BTC,SHORT,33771.38,72463.0,0.46605,1773614438767,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,32062.3,72395.0,0.44288,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,30994.3,72464.0,0.42772,1773614438767,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,28084.7,72758.3,0.386,1773614435944,bybit,,,,,,,,,
BTC,SHORT,25897.87,72298.0,0.35821,1773614396060,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25772.69,72383.0,0.35606,1773614425980,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24133.41,72472.7,0.333,1773614341686,binance,binance,,,,,,,,
BTC,SHORT,24133.4091,72472.7,0.333,1773614341686,binance,,LIMIT,72189.9,FILLED,,,,,
BTC,SHORT,24010.9,72760.3,0.33,1773614435444,bybit,,,,,,,,,
BTC,SHORT,23584.77,72397.0,0.32577,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21844.52,72436.0,0.30157,1773614435802,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19992.6,72395.0,0.27616,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19416.84,72459.0,0.26797,1773614438767,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19048.45,72704.0,0.262,1773614421444,bybit,,,,,,,,,
BTC,SHORT,17633.63,72462.0,0.24335,1773614438767,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15136.87,72773.4,0.208,1773614435944,bybit,,,,,,,,,
BTC,SHORT,14997.5,72298.0,0.20744,1773614396060,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14446.8,72234.0,20.0,1773614349054,okx,,,,,,,,,
BTC,SHORT,13513.74,72654.5,0.186,1773614420944,bybit,,,,,,,,,
BTC,SHORT,13446.65,72684.6,0.185,1773614421444,bybit,,,,,,,,,
BTC,SHORT,12539.6,72266.0,0.17352,1773614386672,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12026.42,72396.0,0.16612,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10880.24,72395.0,0.15029,1773614422804,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10689.71,72719.1,0.147,1773614422444,bybit,,,,,,,,,
BTC,SHORT,10672.0,72436.0,0.14733,1773614435802,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10550.03,72758.8,0.145,1773614435444,bybit,,,,,,,,,
BTC,SHORT,10546.11,72298.0,0.14587,1773614396060,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10255.09,72731.1,0.141,1773614521944,bybit,,,,,,,,,
BTC,SHORT,9945.42,72594.3,0.137,1773614349444,bybit,,,,,,,,,
BTC,SHORT,9592.78,72672.6,0.132,1773614421444,bybit,,,,,,,,,
BTC,SHORT,9487.67,72436.0,0.13098,1773614435802,hyperliquid,hyperliquid,,,,,,,,
