timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,exchange,symbol,value,quantity,order_type,avg_price,order_status
2026-03-16T12:27:22.331000,BTC,short,2.84976,73848.0,210449.08,0xe4292138...,-616.97,hyperliquid,,,,,,,
1773664042331,,SHORT,,73848.0,,,,hyperliquid,hyperliquid,BTC,210449.08,2.84976,,,
2026-03-16T12:27:22.331000,BTC,short,2.1775,73851.0,160810.55,0xe4292138...,-477.96,hyperliquid,,,,,,,
1773664042331,,SHORT,,73851.0,,,,hyperliquid,hyperliquid,BTC,160810.55,2.1775,,,
2026-03-16T12:27:22.331000,BTC,short,1.21857,73849.0,89990.18,0xe4292138...,-265.04,hyperliquid,,,,,,,
1773664042331,,SHORT,,73849.0,,,,hyperliquid,hyperliquid,BTC,89990.18,1.21857,,,
2026-03-16T12:27:22.331000,BTC,short,1.01545,73848.0,74988.95,0xe4292138...,-219.84,hyperliquid,,,,,,,
1773664042331,,SHORT,,73848.0,,,,hyperliquid,hyperliquid,BTC,74988.95,1.01545,,,
2026-03-16T12:27:22.331000,BTC,short,0.54537,73851.0,40276.12,0xf137c7b8...,-116.0,hyperliquid,,,,,,,
1773664042331,,SHORT,,73851.0,,,,hyperliquid,hyperliquid,BTC,40276.12,0.54537,,,
2026-03-16T12:27:22.331000,BTC,short,0.42179,73849.0,31148.77,0xe4292138...,-91.74,hyperliquid,,,,,,,
1773664042331,,SHORT,,73849.0,,,,hyperliquid,hyperliquid,BTC,31148.77,0.42179,,,
1773664158578,,SHORT,,73794.0,,,,okx,,BTC,30166.99,40.88,,,
1773663999178,,SHORT,,74025.5,,,,binance,,BTC,25464.771999999997,0.344,LIMIT,73759.5,FILLED
1773663999178,,SHORT,,74025.5,,,,binance,binance,BTC,25464.77,0.344,,,
1773664173267,,SHORT,,74132.6,,,,binance,binance,BTC,12899.07,0.174,,,
1773664159887,,SHORT,,73805.2,,,,okx,,BTC,7889.78,10.69,,,
1773663998444,,LONG,,73372.6,,,,bybit,,BTC,7410.63,0.101,,,
1773664003311,,SHORT,,74052.6,,,,binance,,BTC,7405.260000000001,0.1,LIMIT,73763.0,FILLED
1773664003311,,SHORT,,74052.6,,,,binance,binance,BTC,7405.26,0.1,,,
