timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,exchange,symbol,value,quantity,order_type,avg_price,order_status
2026-03-15T22:46:37.150000,BTC,short,0.385,72501.0,27912.89,0xaffa4daf...,-337.14,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,27912.89,0.385,,,
1773614739735,,SHORT,,72497.0,,,,hyperliquid,hyperliquid,BTC,25608.12,0.35323,,,
1773614737562,,SHORT,,72466.5,,,,okx,,BTC,14493.3,20.0,,,
1773614793829,,SHORT,,72783.7,,,,okx,,BTC,11521.66,15.83,,,
1773614741561,,SHORT,,72488.0,,,,hyperliquid,hyperliquid,BTC,10629.64,0.14664,,,
2026-03-15T22:50:13.305000,BTC,short,0.14386,72533.0,10434.6,0xc1f12a9d...,-180.16,hyperliquid,,,,,,,
2026-03-15T22:46:37.150000,BTC,short,0.1337,72501.0,9693.38,0xdf2fa90f...,-116.83,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,9693.38,0.1337,,,
2026-03-15T22:46:37.150000,BTC,short,0.11156,72501.0,8088.21,0xaffa4daf...,-97.69,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,8088.21,0.11156,,,
2026-03-15T22:46:37.150000,BTC,short,0.11035,72501.0,8000.49,0xdf2fa90f...,-96.42,hyperliquid,,,,,,,
2026-03-15T22:46:37.150000,BTC,short,0.11035,72501.0,8000.49,0x2deefd7e...,-98.43,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,8000.49,0.11035,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,8000.49,0.11035,,,
2026-03-15T22:46:37.150000,BTC,short,0.1089,72501.0,7895.36,0xdf2fa90f...,-95.16,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,7895.36,0.1089,,,
2026-03-15T22:46:37.150000,BTC,short,0.10773,72501.0,7810.53,0xdf2fa90f...,-94.13,hyperliquid,,,,,,,
2026-03-15T22:46:37.150000,BTC,short,0.10773,72501.0,7810.53,0xaffa4daf...,-94.34,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,7810.53,0.10773,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,7810.53,0.10773,,,
2026-03-15T22:46:37.150000,BTC,short,0.10418,72501.0,7553.15,0xdf2fa90f...,-91.03,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,7553.15,0.10418,,,
1773614794573,,SHORT,,72788.9,,,,okx,,BTC,7300.73,10.03,,,
1773614738444,,SHORT,,72837.9,,,,bybit,,BTC,6701.09,0.092,,,
2026-03-15T22:46:37.150000,BTC,short,0.07679,72501.0,5567.35,0xdf2fa90f...,-67.1,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,5567.35,0.07679,,,
2026-03-15T22:50:13.305000,BTC,short,0.07125,72533.0,5167.98,0xc1f12a9d...,-89.23,hyperliquid,,,,,,,
2026-03-15T22:46:37.150000,BTC,short,0.06918,72501.0,5015.62,0xdf2fa90f...,-60.45,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,5015.62,0.06918,,,
1773614735987,,SHORT,,72451.2,,,,okx,,BTC,4789.02,6.61,,,
1773614739735,,SHORT,,72497.0,,,,hyperliquid,hyperliquid,BTC,4346.92,0.05996,,,
2026-03-15T22:46:37.150000,BTC,short,0.05799,72501.0,4204.33,0x2deefd7e...,-51.73,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,4204.33,0.05799,,,
2026-03-15T22:50:13.305000,BTC,short,0.0531,72534.0,3851.56,0xc1f12a9d...,-66.55,hyperliquid,,,,,,,
1773614738444,,SHORT,,72837.9,,,,bybit,,BTC,3714.73,0.051,,,
2026-03-15T22:50:13.305000,BTC,short,0.04931,72533.0,3576.6,0xc1f12a9d...,-61.75,hyperliquid,,,,,,,
1773614739083,,SHORT,,72762.6,,,,binance,,BTC,3419.8422000000005,0.047,LIMIT,72484.7,FILLED
1773614738444,,SHORT,,72831.3,,,,bybit,,BTC,3277.41,0.045,,,
1773614825445,,SHORT,,72857.8,,,,bybit,,BTC,3060.03,0.042,,,
1773614740944,,SHORT,,72844.2,,,,bybit,,BTC,3059.46,0.042,,,
2026-03-15T22:46:37.150000,BTC,short,0.0391,72501.0,2834.79,0xaffa4daf...,-34.24,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,2834.79,0.0391,,,
2026-03-15T22:50:13.305000,BTC,short,0.03853,72536.0,2794.81,0xec50167e...,-32.73,hyperliquid,,,,,,,
2026-03-15T22:46:37.150000,BTC,short,0.03536,72501.0,2563.64,0xdf2fa90f...,-30.9,hyperliquid,,,,,,,
2026-03-15T22:46:37.150000,BTC,short,0.03536,72501.0,2563.64,0xaffa4daf...,-30.96,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,2563.64,0.03536,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,2563.64,0.03536,,,
2026-03-15T22:46:37.150000,BTC,short,0.03166,72501.0,2295.38,0x2deefd7e...,-28.24,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,2295.38,0.03166,,,
2026-03-15T22:46:37.150000,BTC,short,0.03165,72501.0,2294.66,0xaffa4daf...,-27.72,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,2294.66,0.03165,,,
1773614824944,,SHORT,,72856.6,,,,bybit,,BTC,2185.7,0.03,,,
1773614738444,,SHORT,,72845.5,,,,bybit,,BTC,2112.52,0.029,,,
1773614738444,,SHORT,,72827.6,,,,bybit,,BTC,1966.35,0.027,,,
2026-03-15T22:46:37.150000,BTC,short,0.02136,72501.0,1548.62,0xaffa4daf...,-18.7,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,1548.62,0.02136,,,
1773614739735,,SHORT,,72497.0,,,,hyperliquid,hyperliquid,BTC,1485.46,0.02049,,,
1773614737944,,SHORT,,72844.4,,,,bybit,,BTC,1384.04,0.019,,,
1773614737944,,SHORT,,72837.8,,,,bybit,,BTC,1383.92,0.019,,,
1773614739735,,SHORT,,72497.0,,,,hyperliquid,hyperliquid,BTC,1251.3,0.01726,,,
2026-03-15T22:50:13.305000,BTC,short,0.0138,72533.0,1000.96,0x5481c6dc...,-11.66,hyperliquid,,,,,,,
1773614741784,,SHORT,,72782.8,,,,binance,,BTC,873.3936000000001,0.012,LIMIT,72443.7,FILLED
1773614739735,,SHORT,,72497.0,,,,hyperliquid,hyperliquid,BTC,766.29,0.01057,,,
2026-03-15T22:46:37.150000,BTC,short,0.00997,72501.0,722.83,0xdf2fa90f...,-8.71,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,722.83,0.00997,,,
1773614738527,,SHORT,,72485.4,,,,okx,,BTC,616.13,0.85,,,
1773614737944,,SHORT,,72845.1,,,,bybit,,BTC,509.92,0.007,,,
2026-03-15T22:46:37.150000,BTC,short,0.00658,72501.0,477.06,0xb2d646dc...,-5.44,hyperliquid,,,,,,,
1773614797150,,SHORT,,72501.0,,,,hyperliquid,hyperliquid,BTC,477.06,0.00658,,,
1773614738444,,SHORT,,72845.3,,,,bybit,,BTC,364.23,0.005,,,
2026-03-15T22:50:10.459000,BTC,short,0.00419,72504.0,303.79,0xa8332de5...,-3.43,hyperliquid,,,,,,,
1773614738077,,SHORT,,72757.4,,,,binance,,BTC,291.02959999999996,0.004,LIMIT,72487.0,FILLED
1773614739735,,SHORT,,72497.0,,,,hyperliquid,hyperliquid,BTC,234.17,0.00323,,,
1773615012944,,SHORT,,72876.2,,,,bybit,,BTC,218.63,0.003,,,
1773614825061,,SHORT,,72787.8,,,,binance,,BTC,218.3634,0.003,LIMIT,72499.8,FILLED
2026-03-15T22:50:13.305000,BTC,short,0.00276,72536.0,200.2,0xc1f12a9d...,-3.46,hyperliquid,,,,,,,
