symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange
BTC,SHORT,965.2200999999999,74247.7,0.013,1773639609714,LIMIT,73953.4,FILLED,binance
BTC,SHORT,445.6302,74271.7,0.006,1773639626288,LIMIT,73959.9,FILLED,binance
BTC,SHORT,297.0028,74250.7,0.004,1773639619285,LIMIT,73956.1,FILLED,binance
