symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,exchange,order_type,avg_price,order_status
BTC,SHORT,299147.33,74333.4,402.44,1773668116582,okx,,,,,,,,,
BTC,SHORT,251261.77,74344.4,337.97,1773668122435,okx,,,,,,,,,
BTC,SHORT,85971.87,74693.2,1.151,1773668116444,bybit,,,,,,,,,
BTC,SHORT,60264.0,74354.1,81.05,1773668124246,okx,,,,,,,,,
BTC,SHORT,44164.96,74729.2,0.591,1773668126947,bybit,,,,,,,,,
BTC,SHORT,37345.25,74690.5,0.5,1773668116444,bybit,,,,,,,,,
,short,,74379.0,,2026-03-16T13:35:27.703000,hyperliquid,BTC,0.48634,36173.48,0xf433181c...,-1231.41,,,,
BTC,SHORT,36173.48,74379.0,0.48634,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,33461.97,74691.9,0.448,1773668116444,bybit,,,,,,,,,
,short,,74374.0,,2026-03-16T13:35:42.776000,hyperliquid,BTC,0.40338,30000.98,0x2526dda6...,-2361.06,,,,
BTC,SHORT,30000.98,74374.0,0.40338,1773668142776,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,27282.23,74377.0,0.36681,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,17689.2771,74638.3,0.237,1773668124697,binance,,,,,,,LIMIT,74360.1,FILLED
BTC,SHORT,15315.22,74708.4,0.205,1773668121444,bybit,,,,,,,,,
BTC,SHORT,12550.05,74702.7,0.168,1773668122944,bybit,,,,,,,,,
BTC,SHORT,10154.08,74378.0,0.13652,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,9551.1296,74618.2,0.128,1773668116044,binance,,,,,,,LIMIT,74332.3,FILLED
,short,,74374.0,,2026-03-16T13:35:42.776000,hyperliquid,BTC,0.1202,8939.75,0x2526dda6...,-703.55,,,,
BTC,SHORT,8939.75,74374.0,0.1202,1773668142776,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,8743.36,74729.6,0.117,1773668127444,bybit,,,,,,,,,
,short,,74374.0,,2026-03-16T13:35:42.776000,hyperliquid,BTC,0.10084,7499.87,0x2526dda6...,-590.24,,,,
BTC,SHORT,7499.87,74374.0,0.10084,1773668142776,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,6836.86,74346.0,0.09196,1773668121800,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,6647.85,74694.9,0.089,1773668116944,bybit,,,,,,,,,
BTC,SHORT,6513.11,74606.1,8.73,1773668115388,okx,,,,,,,,,
BTC,SHORT,5600.23,74669.7,0.075,1773668116444,bybit,,,,,,,,,
BTC,SHORT,5047.37,74665.2,6.76,1773668127277,okx,,,,,,,,,
BTC,SHORT,4600.97,74293.0,0.06193,1773668096828,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,4551.7224,74618.4,0.061,1773668117043,binance,,,,,,,LIMIT,74343.8,FILLED
BTC,SHORT,4125.81,74339.0,0.0555,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,3992.61,74350.2,5.37,1773668121708,okx,,,,,,,,,
BTC,SHORT,3807.3233999999993,74653.4,0.051,1773668125700,binance,,,,,,,LIMIT,74371.0,FILLED
BTC,SHORT,3735.53,74710.5,0.05,1773668121444,bybit,,,,,,,,,
BTC,SHORT,3733.59,74671.8,0.05,1773668115944,bybit,,,,,,,,,
,short,,74374.0,,2026-03-16T13:35:42.776000,hyperliquid,BTC,0.04753,3535.0,0x2526dda6...,-278.2,,,,
BTC,SHORT,3535.0,74374.0,0.04753,1773668142776,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,3366.75,74354.0,0.04528,1773668124868,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,3285.47,74669.7,0.044,1773668116444,bybit,,,,,,,,,
BTC,SHORT,3211.24,74680.1,0.043,1773668115944,bybit,,,,,,,,,
BTC,SHORT,3204.07,74340.4,4.31,1773668117585,okx,,,,,,,,,
BTC,SHORT,2912.6,74682.1,0.039,1773668115944,bybit,,,,,,,,,
BTC,SHORT,2765.04,74730.8,0.037,1773668124445,bybit,,,,,,,,,
BTC,SHORT,2699.99,74339.0,0.03632,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,2690.22,74728.2,0.036,1773668127444,bybit,,,,,,,,,
BTC,SHORT,2598.02,74378.0,0.03493,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,2371.41,74339.0,0.0319,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,2241.71,74723.8,0.03,1773668123944,bybit,,,,,,,,,
BTC,SHORT,2241.59,74719.5,0.03,1773668124445,bybit,,,,,,,,,
BTC,SHORT,1976.97,74378.0,0.02658,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC-USD,SHORT,1970.0,74375.1,19.7,1773668127846,okx,,,,,,,,,
BTC,SHORT,1793.31,74721.3,0.024,1773668124944,bybit,,,,,,,,,
BTC,SHORT,1792.59,74691.2,0.024,1773668116944,bybit,,,,,,,,,
BTC,SHORT,1718.54,74719.3,0.023,1773668127444,bybit,,,,,,,,,
BTC,SHORT,1687.35,74661.6,2.26,1773668126223,okx,,,,,,,,,
BTC,SHORT,1644.15,74734.3,0.022,1773668127943,bybit,,,,,,,,,
BTC,SHORT,1569.43,74734.6,0.021,1773668127444,bybit,,,,,,,,,
BTC,LONG,1555.4007000000001,74066.7,0.021,1773668126981,binance,,,,,,,LIMIT,74381.9,FILLED
BTC,SHORT,1494.8,74740.0,0.02,1773668127943,bybit,,,,,,,,,
BTC,SHORT,1494.37,74718.6,0.02,1773668123944,bybit,,,,,,,,,
BTC,SHORT,1416.9649000000002,74577.1,0.019,1773668184325,binance,,,,,,,LIMIT,74285.8,FILLED
BTC,SHORT,1363.65,74354.0,0.01834,1773668124868,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,1270.1,74711.9,0.017,1773668122444,bybit,,,,,,,,,
BTC,SHORT,1195.04,74690.3,0.016,1773668116944,bybit,,,,,,,,,
BTC,SHORT,990.2,74339.0,0.01332,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,971.44,74726.2,0.013,1773668124944,bybit,,,,,,,,,
BTC,SHORT,970.1718000000001,74628.6,0.013,1773668118272,binance,,,,,,,LIMIT,74332.7,FILLED
BTC,SHORT,919.57,74339.0,0.01237,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,896.08,74673.7,0.012,1773668116944,bybit,,,,,,,,,
BTC,SHORT,892.35,74362.6,1.2,1773668125887,okx,,,,,,,,,
BTC,SHORT,747.14,74714.5,0.01,1773668122444,bybit,,,,,,,,,
BTC,SHORT,743.43,74343.0,1.0,1773668120278,okx,,,,,,,,,
BTC,SHORT,671.8275,74647.5,0.009,1773668121077,binance,,,,,,,LIMIT,74351.6,FILLED
BTC,SHORT,671.7824999999999,74642.5,0.009,1773668123581,binance,,,,,,,LIMIT,74366.1,FILLED
BTC,SHORT,597.85,74731.5,0.008,1773668123944,bybit,,,,,,,,,
BTC,SHORT,597.82,74727.1,0.008,1773668124445,bybit,,,,,,,,,
BTC,SHORT,585.79,74339.0,0.00788,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,523.14,74734.6,0.007,1773668127444,bybit,,,,,,,,,
BTC,SHORT,448.28,74713.7,0.006,1773668122444,bybit,,,,,,,,,
BTC,SHORT,448.14,74690.3,0.006,1773668116444,bybit,,,,,,,,,
BTC,SHORT,448.05,74674.7,0.006,1773668116944,bybit,,,,,,,,,
BTC,SHORT,429.16,74377.0,0.00577,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,369.46,74339.0,0.00497,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,305.29,74280.0,0.00411,1773668100127,hyperliquid,,,,,,hyperliquid,,,
BTC-USD,SHORT,300.0,74619.8,3.0,1773668115333,okx,,,,,,,,,
BTC,SHORT,298.86,74714.6,0.004,1773668122444,bybit,,,,,,,,,
BTC,SHORT,298.81,74702.1,0.004,1773668118969,bybit,,,,,,,,,
BTC,SHORT,298.77,74692.2,0.004,1773668116444,bybit,,,,,,,,,
BTC,SHORT,298.69,74673.2,0.004,1773668116444,bybit,,,,,,,,,
BTC,SHORT,275.09,74348.2,0.37,1773668123114,okx,,,,,,,,,
BTC,SHORT,252.55,74280.0,0.0034,1773668100127,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,224.22,74739.1,0.003,1773668127943,bybit,,,,,,,,,
BTC,SHORT,224.11,74703.6,0.003,1773668118969,bybit,,,,,,,,,
BTC,SHORT,224.08,74693.7,0.003,1773668116944,bybit,,,,,,,,,
BTC,SHORT,223.83,74608.7,0.003,1773668219943,bybit,,,,,,,,,
BTC,SHORT,202.08,74293.0,0.00272,1773668096828,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,200.72,74339.0,0.0027,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,152.39,74339.0,0.00205,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,149.3494,74674.7,0.002,1773668128041,binance,,,,,,,LIMIT,74375.1,FILLED
BTC,SHORT,89.22,74354.0,0.0012,1773668124868,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,87.02,74378.0,0.00117,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,74.73,74728.9,0.001,1773668123944,bybit,,,,,,,,,
BTC,SHORT,74.7,74702.3,0.001,1773668118459,bybit,,,,,,,,,
BTC,SHORT,74.67,74674.3,0.001,1773668116944,bybit,,,,,,,,,
BTC,SHORT,74.67,74665.9,0.001,1773668116944,bybit,,,,,,,,,
BTC,SHORT,72.06,74293.0,0.00097,1773668096828,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,59.5,74378.0,0.0008,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,47.58,74346.0,0.00064,1773668121800,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,34.2,74354.0,0.00046,1773668124868,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,19.34,74378.0,0.00026,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,16.35,74339.0,0.00022,1773668118606,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,14.88,74378.0,0.0002,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,14.88,74377.0,0.0002,1773668127703,hyperliquid,,,,,,hyperliquid,,,
,short,,74379.0,,2026-03-16T13:35:27.703000,hyperliquid,BTC,0.00017,12.64,0xf433181c...,-0.43,,,,
BTC,SHORT,12.64,74379.0,0.00017,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,12.64,74378.0,0.00017,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,11.16,74379.0,0.00015,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
