symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,SHORT,72247.7,72247.7,1.0,1773597296211,LIMIT,71953.3,FILLED,binance,,,,,,
BTC,SHORT,61751.54,72308.6,0.854,1773597272944,,,,bybit,,,,,,
BTC,SHORT,47869.35,72310.2,0.662,1773597274446,,,,bybit,,,,,,
BTC,SHORT,15243.6528,72244.8,0.211,1773597273534,LIMIT,71955.2,FILLED,binance,,,,,,
BTC,SHORT,15243.65,72244.8,0.211,1773597273534,,,,binance,binance,,,,,
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,,BTC,0.12519,9003.79,0x19dcaae8...,-178.4
BTC,SHORT,8380.91,72249.2,11.6,1773597292389,,,,okx,,,,,,
BTC,SHORT,8236.4202,72249.3,0.114,1773597290067,LIMIT,71963.0,FILLED,binance,,,,,,
BTC,SHORT,8236.42,72249.3,0.114,1773597290067,,,,binance,binance,,,,,
BTC,SHORT,7922.86,71960.6,11.01,1773597290004,,,,okx,,,,,,
BTC,SHORT,7229.25,72292.5,0.1,1773597267444,,,,bybit,,,,,,
BTC,SHORT,5857.47,72314.4,0.081,1773597290444,,,,bybit,,,,,,
,short,,71950.0,,2026-03-15T17:54:16.576000,,,,hyperliquid,,BTC,0.05246,3774.5,0x21290951...,-43.44
BTC,SHORT,1807.73,72309.0,0.025,1773597268444,,,,bybit,,,,,,
BTC,SHORT,1439.06,71953.1,2.0,1773597284675,,,,okx,,,,,,
,short,,71950.0,,2026-03-15T17:54:16.576000,,,,hyperliquid,,BTC,0.01845,1327.48,0x01ff0afc...,-15.48
BTC,SHORT,867.79,72316.0,0.012,1773597290944,,,,bybit,,,,,,
BTC,SHORT,719.58,71958.1,1.0,1773597286162,,,,okx,,,,,,
BTC,SHORT,650.0510999999999,72227.9,0.009,1773597267210,LIMIT,71960.3,FILLED,binance,,,,,,
BTC,SHORT,650.05,72227.9,0.009,1773597267210,,,,binance,binance,,,,,
,short,,71950.0,,2026-03-15T17:54:16.576000,,,,hyperliquid,,BTC,0.00454,326.65,0x909fd983...,-3.85
BTC,SHORT,288.93,72231.7,0.004,1773597268271,,,,binance,binance,,,,,
BTC,SHORT,288.9268,72231.7,0.004,1773597268271,LIMIT,71953.1,FILLED,binance,,,,,,
BTC,LONG,285.9904,71497.6,0.004,1773597366562,LIMIT,71769.1,FILLED,binance,,,,,,
,short,,71938.0,,2026-03-15T17:54:34.667000,,,,hyperliquid,,BTC,0.00258,185.6,0x6f1f1af5...,-2.0
BTC,SHORT,185.6,71938.0,0.00258,1773597274667,,,,hyperliquid,hyperliquid,,,,,
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,,BTC,0.00207,148.88,0x8bc06855...,-1.61
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,,BTC,0.00155,111.48,0x93a98082...,-1.81
BTC,SHORT,72.32,72315.2,0.001,1773597290444,,,,bybit,,,,,,
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,,BTC,0.00027,19.42,0xfe5dcf64...,-0.23
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,,BTC,0.00026,18.7,0xa8e32495...,-0.22
