exchange,symbol,side,value,price,quantity,timestamp,_exchange
binance,BTC,SHORT,8532.35,73554.7,0.116,1773654567198,binance
binance,BTC,SHORT,882.64,73553.3,0.012,1773654562756,binance
,BTC,SHORT,798.23,73232.3,1.09,1773654547410,okx
binance,BTC,SHORT,661.38,73486.4,0.009,1773654548616,binance
binance,BTC,SHORT,588.39,73549.1,0.008,1773654564132,binance
,BTC,SHORT,220.73,73575.5,0.003,1773654547944,bybit
,BTC,SHORT,147.24,73618.6,0.002,1773654548445,bybit
,BTC,SHORT,147.24,73621.5,0.002,1773654547944,bybit
